     0.488997     0.390712           -1
    0.0106694     0.642974            1
     0.205201     0.628098           -1
     0.100216     0.494993            1
     0.411485     0.267488            1
     0.499192     0.674813           -1
     0.744222     0.941314           -1
     0.565751     0.686018           -1
     0.345035     0.346712           -1
      0.73158     0.489864            1
     0.586561     0.721105           -1
     0.811772     0.755747            1
      0.25859     0.569385           -1
     0.550165     0.731201           -1
     0.947687     0.688289            1
     0.434348     0.714517           -1
     0.915892      0.95457            1
     0.598181     0.642107           -1
     0.579124     0.595292           -1
     0.849245    0.0551122            1
     0.530655     0.801167           -1
      0.62981     0.933366           -1
     0.458324     0.507741           -1
     0.917748     0.952214            1
      0.72223     0.612511            1
     0.166551     0.531634           -1
      0.25806     0.302543            1
     0.658367     0.868983           -1
     0.194429     0.545064           -1
     0.872379     0.781179            1
     0.198033     0.254865            1
       0.8173     0.923103            1
     0.841308     0.840346            1
     0.877166     0.466129            1
     0.602384     0.386175            1
     0.924079     0.502894            1
     0.383486     0.201341            1
     0.761641     0.945023           -1
     0.789217     0.305042            1
     0.208667     0.689613           -1
     0.425124     0.997664           -1
     0.868534     0.737701            1
     0.310105     0.952415           -1
    0.0340078     0.746979            1
     0.815577     0.213743            1
     0.228701     0.247939            1
     0.988948     0.107328            1
     0.928085     0.759124            1
     0.330577     0.739325           -1
     0.261546     0.137966            1
    0.0314221     0.253335            1
      0.81382     0.665333            1
     0.902422       0.9502            1
    0.0378485     0.944332           -1
    0.0330283     0.154222            1
    0.0866195     0.688394            1
     0.998996      0.78263            1
     0.378671     0.995182           -1
     0.281445     0.085337            1
     0.718433       0.9152           -1
     0.692722     0.518689            1
     0.303738     0.273094            1
     0.228356     0.493995           -1
     0.618515     0.992608           -1
     0.499646     0.919334           -1
     0.671401     0.602432           -1
     0.877659     0.859542            1
     0.511879     0.567388           -1
     0.905338     0.084906            1
     0.754421      0.79865            1
     0.285202     0.756318           -1
     0.827403     0.284486            1
     0.876428     0.750644            1
     0.558672     0.657152           -1
     0.694141     0.197398            1
     0.192918     0.194054            1
     0.644669     0.746946           -1
     0.457076     0.281585            1
     0.345407     0.601475           -1
     0.336809     0.347587           -1
     0.639969     0.421311            1
     0.809478     0.991734           -1
     0.545799     0.411574           -1
     0.579235    0.0302564            1
     0.725921     0.630712            1
     0.593728      0.48315           -1
     0.889119      0.25344            1
     0.221772     0.953945           -1
     0.705291     0.313703            1
     0.961578     0.699884            1
     0.837152     0.820999            1
     0.432953     0.910267           -1
    0.0888991     0.850571           -1
     0.527803     0.739719           -1
     0.286128     0.749541           -1
     0.803457     0.487928            1
     0.194176     0.511577           -1
      0.19362      0.78144           -1
     0.385346      0.90169           -1
      0.96092     0.679318            1
